공항명,항공기 제조사 모델,충격 정도,비행날짜,항공사,출발지(주),비행의 단계,야생동물 크기,야생동물 종,시간대,기타 비용,수리 비용,총 비용,지시 속도(노트)
HONOLULU INTL ARPT,B-737,,1990-05-16,ALOHA AIRLINES,하와이,착륙,크다,알 수 없는 새 - 큼,낮,0,0,0,70
AUSTIN-BERGSTROM INTL,B-737-200,,1990-05-16,SOUTHWEST AIRLINES,텍사스,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-727,,1990-05-18,AMERICAN AIRLINES,텍사스,진입,작다,미국울새,밤,0,0,0,122
LAMBERT-ST LOUIS INTL,MD-80,,1990-05-19,AMERICAN AIRLINES,미주리,진입,작다,알 수 없는 새 - 작음,밤,0,0,0,140
RONALD REAGAN WASHINGTON NATL,B-757-200,,1990-05-20,AMERICAN AIRLINES,워싱턴 DC,진입,작다,알 수 없는 새 - 작음,밤,0,0,0,120
SACRAMENTO INTL,B-737-300,,1990-05-22,UNITED AIRLINES,켈리포니아,진입,작다,알 수 없는 새 - 작음,밤,0,0,0,140
CHICAGO O'HARE INTL ARPT,B-727-200,,1990-05-22,AMERICAN AIRLINES,일리노이,진입,작다,알 수 없는 새 - 작음,밤,0,0,0,140
SAN FRANCISCO INTL ARPT,B-767,,1990-05-23,DELTA AIR LINES,켈리포니아,이륙,중간,알 수 없는 새 - 중간,낮,0,0,0,150
CHARLESTON AFB/INTL ARPT,C-141B,,1990-05-24,MILITARY,사우스 캐롤라이나,진입,중간,알 수 없는 새/박쥐,낮,0,0,0,250
HOUSTON-HOBBY,B-737-300,,1990-05-24,SOUTHWEST AIRLINES,텍사스,진입,작다,알 수 없는 새 - 작음,밤,0,0,0,250
LAMBERT-ST LOUIS INTL,L-1011,,1990-05-26,TRANS WORLD AIRLINES,미주리,하강,중간,알 수 없는 새 - 중간,낮,0,0,0,160
HOUSTON-HOBBY,B-737,,1990-05-26,SOUTHWEST AIRLINES,텍사스,이륙,중간,알 수 없는 새 - 중간,낮,0,0,0,
CLEVELAND-HOPKINS INTL ARPT,EMB-120,,1990-05-26,EXPRESSJET (CONTINENTAL EXPRS),오하이오,상승,중간,알 수 없는 새 - 중간,밤,0,0,0,180
NASHVILLE INTL,B-727-200,,1990-05-26,AMERICAN AIRLINES,테네시,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,170
SACRAMENTO INTL,B-737-300,,1990-05-27,UNITED AIRLINES,켈리포니아,진입,중간,청둥오리,낮,0,0,0,140
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,,1990-05-27,US AIRWAYS*,켄터키,상승,중간,알 수 없는 새 - 중간,밤,0,0,0,180
DALLAS/FORT WORTH INTL ARPT,MD-80,,1990-05-27,AMERICAN AIRLINES,텍사스,진입,작다,미국울새,낮,0,0,0,170
LOUISVILLE INTL ARPT,DC-9-10,,1990-05-29,TRANS WORLD AIRLINES,켄터키,진입,중간,알 수 없는 새 - 중간,밤,0,0,0,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-05-29,MILITARY,루이지애나,이륙,중간,알 수 없는 새/박쥐,밤,0,0,0,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-05-29,MILITARY,루이지애나,이륙,중간,알 수 없는 새/박쥐,밤,0,0,0,135
CHICAGO O'HARE INTL ARPT,B-727-200,,1990-05-29,AMERICAN AIRLINES,일리노이,상승,작다,흰점찌르레기,낮,0,0,0,160
NEW ORLEANS INTL,B-737-200,,1990-05-30,SOUTHWEST AIRLINES,루이지애나,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,130
LAMBERT-ST LOUIS INTL,GULFAERO IV,,1990-05-30,BUSINESS,미주리,착륙,작다,흰점찌르레기,낮,0,0,0,140
LAMBERT-ST LOUIS INTL,B-737-300,,1990-05-31,SOUTHWEST AIRLINES,미주리,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,135
LOUISVILLE INTL ARPT,DC-8,,1990-05-31,UPS AIRLINES,켄터키,이륙,작다,알 수 없는 새 - 작음,낮,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,B-52,,1990-06-01,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,낮,0,0,0,146
DALLAS/FORT WORTH INTL ARPT,DC-10,,1990-06-01,AMERICAN AIRLINES,텍사스,착륙,작다,흰점찌르레기,낮,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,MD-80,,1990-06-04,AMERICAN AIRLINES,텍사스,하강,작다,알 수 없는 새 - 작음,밤,0,0,0,210
WILL ROGERS WORLD ARPT,MD-80,,1990-06-05,AMERICAN AIRLINES,오클라호마,상승,작다,비둘기,낮,0,0,0,180
LAMBERT-ST LOUIS INTL,B-737-200,,1990-06-06,SOUTHWEST AIRLINES,미주리,진입,작다,알 수 없는 새 - 작음,밤,0,0,0,210
GREATER PITTSBURGH,A-7,,1990-06-07,MILITARY,펜실베니아,착륙,중간,알 수 없는 새/박쥐,낮,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-06-07,MILITARY,루이지애나,이륙,중간,알 수 없는 새/박쥐,낮,0,0,0,200
CHICAGO O'HARE INTL ARPT,MD-80,,1990-06-07,AMERICAN AIRLINES,일리노이,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,210
METRO OAKLAND INTL,B-737-200,,1990-06-08,SOUTHWEST AIRLINES,켈리포니아,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,135
NASHVILLE INTL,B-727-200,,1990-06-09,AMERICAN AIRLINES,테네시,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,136
BALTIMORE WASH INTL,BA-31 JETSTR,,1990-06-09,PSA AIRLINES,메릴랜드,이륙,작다,알 수 없는 새 - 작음,낮,0,0,0,130
GREATER PITTSBURGH,B-727,,1990-06-11,UNITED AIRLINES,펜실베니아,착륙,작다,알 수 없는 새 - 작음,낮,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-06-12,MILITARY,루이지애나,이륙,중간,알 수 없는 새/박쥐,낮,0,0,0,150
WILL ROGERS WORLD ARPT,B-737-300,,1990-06-12,SOUTHWEST AIRLINES,오클라호마,진입,작다,우는비둘기,낮,0,0,0,135
SAN ANTONIO INTL,DC-10-10,,1990-06-14,AMERICAN AIRLINES,텍사스,진입,중간,알 수 없는 새 - 중간,밤,0,0,0,250
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,,1990-06-14,US AIRWAYS*,켄터키,착륙,작다,미국울새,낮,0,0,0,120
NASHVILLE INTL,B-727-100,,1990-06-14,AMERICAN AIRLINES,테네시,착륙,작다,미국울새,황혼,0,0,0,85
WILL ROGERS WORLD ARPT,B-737-200,중간,1990-06-17,SOUTHWEST AIRLINES,오클라호마,상승,중간,알 수 없는 새 - 중간,밤,0,0,0,180
LOGAN INTL,B-757-200,,1990-06-18,AMERICA WEST AIRLINES,메사추세츠,진입,중간,재갈매기,새벽,48704,0,48704,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-06-19,MILITARY,루이지애나,이륙,중간,알 수 없는 새/박쥐,밤,0,0,0,130
GREATER PITTSBURGH,MD-80,,1990-06-19,AMERICAN AIRLINES,펜실베니아,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,130
SAN FRANCISCO INTL ARPT,DC-8-70,,1990-06-20,UNITED AIRLINES,켈리포니아,이륙,중간,알 수 없는 새 - 중간,낮,0,0,0,140
ORLANDO INTL,MD-80,,1990-06-21,AMERICAN AIRLINES,플로리다,진입,중간,알 수 없는 새 - 중간,낮,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-06-22,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,낮,0,0,0,150
HOUSTON-HOBBY,B-737-300,,1990-06-23,SOUTHWEST AIRLINES,텍사스,진입,중간,알 수 없는 새 - 중간,낮,0,0,0,250
CLEVELAND-HOPKINS INTL ARPT,B-737,,1990-06-23,CONTINENTAL AIRLINES,오하이오,착륙,중간,미국까마귀,낮,0,0,0,110
CLEVELAND-HOPKINS INTL ARPT,BA-31 JETSTR,,1990-06-23,PSA AIRLINES,오하이오,착륙,중간,미국까마귀,낮,0,0,0,100
MINETA SAN JOSE INTL,MD-80,,1990-06-23,AMERICAN AIRLINES,켈리포니아,이륙,중간,알 수 없는 새 - 중간,황혼,0,0,0,110
PORT COLUMBUS INTL,B-727,,1990-06-23,UNKNOWN,오하이오,상승,작다,알 수 없는 새 - 작음,낮,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-135,,1990-06-26,MILITARY,루이지애나,상승,중간,알 수 없는 새/박쥐,밤,0,0,0,160
EPPLEY AIRFIELD,MD-87,,1990-06-26,UPS AIRLINES,네브래스카,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,140
ATLANTIC CITY INTL,CV-580,,1990-06-27,GOVERNMENT,뉴저지,착륙,중간,알 수 없는 새 - 중간,낮,0,0,0,40
CHICAGO O'HARE INTL ARPT,B-727-200,,1990-06-28,AMERICAN AIRLINES,일리노이,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,130
DALLAS/FORT WORTH INTL ARPT,B-727-100,,1990-06-28,AMERICAN AIRLINES,텍사스,진입,작다,알 수 없는 새 - 작음,밤,0,0,0,250
CHICAGO O'HARE INTL ARPT,MD-80,,1990-06-30,AMERICAN AIRLINES,일리노이,착륙,작다,알 수 없는 새 - 작음,낮,0,0,0,145
DALLAS/FORT WORTH INTL ARPT,MD-80,,1990-07-01,AMERICAN AIRLINES,텍사스,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,140
HONOLULU INTL ARPT,DC-10-10,,1990-07-03,AMERICAN AIRLINES,하와이,진입,중간,알 수 없는 새 - 중간,밤,0,0,0,137
GEORGE BUSH INTERCONTINENTAL,B-727-200,,1990-07-03,AMERICAN AIRLINES,텍사스,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,140
CHARLOTTE/DOUGLAS INTL ARPT,MD-80,,1990-07-05,US AIRWAYS*,노스 캐롤라이나,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,125
CHARLESTON AFB/INTL ARPT,MD-80,,1990-07-06,AMERICAN AIRLINES,사우스 캐롤라이나,이륙,중간,알 수 없는 새 - 중간,낮,0,0,0,100
SACRAMENTO INTL,B-737-200,,1990-07-06,UNITED AIRLINES,켈리포니아,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,125
LOUISVILLE INTL ARPT,B-737,,1990-07-07,UNITED AIRLINES,켄터키,이륙,작다,알 수 없는 새 - 작음,낮,0,0,0,140
MINETA SAN JOSE INTL,B-767,소소한,1990-07-08,AMERICAN AIRLINES,켈리포니아,이륙,중간,알 수 없는 새 - 중간,낮,0,0,0,140
SALT LAKE CITY INTL,MD-80,,1990-07-08,AMERICAN AIRLINES,유나,진입,중간,알 수 없는 새 - 중간,낮,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,,1990-07-08,US AIRWAYS*,노스 캐롤라이나,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,134
CHICAGO O'HARE INTL ARPT,B-727,,1990-07-08,AMERICAN AIRLINES,일리노이,상승,작다,알 수 없는 새 - 작음,낮,0,0,0,210
SEATTLE-TACOMA INTL,DC-10,,1990-07-09,NORTHWEST AIRLINES,워싱턴,상승,중간,알 수 없는 새 - 중간,낮,0,0,0,200
ATLANTA INTL,B-737,,1990-07-10,UNITED AIRLINES,조지아,진입,중간,알 수 없는 새 - 중간,낮,0,0,0,
MEMPHIS INTL,MD-80,,1990-07-10,AMERICAN AIRLINES,테네시,진입,작다,알 수 없는 새 - 작음,밤,0,0,0,130
SALT LAKE CITY INTL,B-727,소소한,1990-07-11,DELTA AIR LINES,유나,하강,크다,알 수 없는 새 - 큼,낮,0,0,0,350
ATLANTA INTL,B-767,,1990-07-11,DELTA AIR LINES,조지아,착륙,작다,흰점찌르레기,새벽,0,0,0,130
SAN FRANCISCO INTL ARPT,L-1011,,1990-07-11,TRANS WORLD AIRLINES,켈리포니아,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,
CLEVELAND-HOPKINS INTL ARPT,EMB-120,,1990-07-12,BUSINESS,오하이오,진입,작다,미국울새,낮,0,0,0,130
LIHUE ARPT,B-737-300,엄청난,1990-07-13,ALOHA AIRLINES,하와이,이륙,작다,쇠부엉이,새벽,0,0,0,85
LOS ANGELES INTL,MD-80,,1990-07-13,ALASKA AIRLINES,켈리포니아,착륙,작다,아메리카황조롱이,낮,0,0,0,125
GREATER PITTSBURGH,MD-80,,1990-07-15,AMERICAN AIRLINES,펜실베니아,진입,중간,알 수 없는 새 - 중간,밤,0,0,0,160
NASHVILLE INTL,MD-80,,1990-07-15,AMERICAN AIRLINES,테네시,착륙,작다,알 수 없는 새 - 작음,황혼,0,0,0,120
METRO OAKLAND INTL,BA-146-200,소소한,1990-07-16,US AIRWAYS*,켈리포니아,상승,크다,캐나다 거위,황혼,0,0,0,130
KANSAS CITY INTL,MD-80,,1990-07-16,AMERICAN AIRLINES,미주리,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,140
ATLANTIC CITY INTL,B-727,,1990-07-16,BUSINESS,뉴저지,상승,작다,웃는갈매기,낮,0,0,0,120
ATLANTIC CITY INTL,FOKKER F100,,1990-07-16,US AIRWAYS*,뉴저지,상승,작다,웃는갈매기,낮,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,MD-82,,1990-07-17,AMERICAN AIRLINES,텍사스,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,130
ATLANTIC CITY INTL,B-727,,1990-07-17,BUSINESS,뉴저지,이륙,작다,웃는갈매기,낮,0,0,0,
GREATER PITTSBURGH,MD-80,,1990-07-19,AMERICAN AIRLINES,펜실베니아,이륙,작다,알 수 없는 새 - 작음,낮,0,0,0,125
ATLANTA INTL,B-727,,1990-07-20,TRANS WORLD AIRLINES,조지아,상승,중간,알 수 없는 새 - 중간,낮,0,0,0,190
NEWARK LIBERTY INTL ARPT,DC-10,,1990-07-21,FEDEX EXPRESS,뉴저지,착륙,크다,알 수 없는 새 - 큼,낮,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-80,,1990-07-22,AMERICAN AIRLINES,텍사스,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,140
KANSAS CITY INTL,B-737-300,,1990-07-23,AMERICA WEST AIRLINES,미주리,착륙,중간,알 수 없는 새 - 중간,밤,0,0,0,120
ATLANTIC CITY INTL,FOKKER F100,,1990-07-23,US AIRWAYS*,뉴저지,이륙,중간,알 수 없는 새 - 중간,밤,0,0,0,
CLEVELAND-HOPKINS INTL ARPT,MD-80,소소한,1990-07-23,AMERICAN AIRLINES,오하이오,상승,작다,알 수 없는 새 - 작음,낮,0,0,0,140
LAMBERT-ST LOUIS INTL,MD-82,소소한,1990-07-24,AMERICAN AIRLINES,미주리,상승,작다,알 수 없는 새 - 작음,낮,0,0,0,220
LOUISVILLE INTL ARPT,HAWKER-SDLY HS125,,1990-07-25,BUSINESS,켄터키,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,120
CHICAGO O'HARE INTL ARPT,B-757-200,,1990-07-26,AMERICAN AIRLINES,일리노이,진입,중간,알 수 없는 새 - 중간,낮,0,0,0,135
GEORGE BUSH INTERCONTINENTAL,B-727-100,,1990-07-26,AMERICAN AIRLINES,텍사스,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,130
HOUSTON-HOBBY,B-737-300,,1990-07-28,SOUTHWEST AIRLINES,텍사스,이륙,중간,알 수 없는 새 - 중간,낮,0,0,0,120
MINETA SAN JOSE INTL,PA-23-250,,1990-07-29,UNKNOWN,켈리포니아,진입,중간,알 수 없는 새 - 중간,낮,0,0,0,100
ATLANTIC CITY INTL,DC-9,,1990-07-29,BUSINESS,뉴저지,상승,작다,웃는갈매기,낮,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-82,,1990-07-29,AMERICAN AIRLINES,텍사스,상승,작다,알 수 없는 새 - 작음,낮,0,0,0,250
PHILADELPHIA INTL,DC-8,,1990-07-30,UNITED AIRLINES,펜실베니아,진입,크다,캐나다 거위,낮,0,0,0,130
HOUSTON-HOBBY,MD-80,,1990-07-30,AMERICAN AIRLINES,텍사스,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,128
HOUSTON-HOBBY,ATR-42,,1990-07-31,CONTINENTAL AIRLINES,텍사스,상승,작다,알 수 없는 새 - 작음,낮,0,0,0,120
CHICAGO O'HARE INTL ARPT,B-757-200,,1990-08-01,AMERICAN AIRLINES,일리노이,진입,작다,비둘기,낮,0,0,0,125
PHILADELPHIA INTL,B-757-200,,1990-08-01,AMERICAN AIRLINES,펜실베니아,진입,작다,알 수 없는 새 - 작음,밤,0,0,0,170
JOHN F KENNEDY INTL,B-747-1/200,중간,1990-08-02,TRANS WORLD AIRLINES,뉴욕,진입,중간,재갈매기,낮,0,0,0,
HOUSTON-HOBBY,B-737-500,,1990-08-02,SOUTHWEST AIRLINES,텍사스,이륙,작다,알 수 없는 새 - 작음,낮,0,0,0,110
DALLAS/FORT WORTH INTL ARPT,MD-80,,1990-08-03,AMERICAN AIRLINES,텍사스,진입,중간,알 수 없는 새 - 중간,낮,0,0,0,210
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-08-04,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,낮,0,0,0,165
CHICAGO O'HARE INTL ARPT,MD-80,,1990-08-04,AMERICAN AIRLINES,일리노이,상승,중간,알 수 없는 새 - 중간,밤,0,0,0,250
