US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Creative Type,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
31559560,31559560,,500000,Nov 15 1974,,,,83,5.8,1801
5274005,5274005,,2500000,Jan 27 1995,R,,Contemporary Fiction,100,8,39705
171340294,403476931,,20000000,Nov 13 1991,G,,Fantasy,93,3.4,354
23600000,23600000,,2100000,Nov 21 2046,,,,97,8.2,17338
909000,909000,,1305000,Aug 19 1983,,,Historical Fiction,,,
4655,4655,,3000000,Sep 30 2005,R,,Contemporary Fiction,23,3.2,1119
8800000,8800000,,1800000,Dec 31 1972,,,Science Fiction,38,5,6094
0,0,,50000,Dec 31 2009,,,,,,
4357406,4357406,,32000000,Sep 06 1996,PG,,Fantasy,40,4.8,2742
234760478,316300000,,15000000,Dec 05 1984,,,Contemporary Fiction,83,7.3,45065
153665036,276665036,,20000000,May 20 1987,R,,Contemporary Fiction,46,6.1,29712
42586861,119180938,,50000000,May 25 1994,R,,Contemporary Fiction,10,5,21199
35841901,35841901,,20000000,Dec 21 1979,,,Science Fiction,42,5.6,7810
0,3436763,,15000000,Jul 10 2008,,,,,6.1,1446
114968774,151668774,,18000000,Jun 03 1988,,,Fantasy,96,7.2,49256
11000000,22000000,,245000,Jan 01 2025,,,,100,8.4,2600
56190094,56190094,,6500000,Jul 12 1991,,,Contemporary Fiction,98,7.8,30299
1660865,1660865,,2000000,Sep 12 2003,PG,,Historical Fiction,,,
2000000,2000000,,11000000,Dec 31 1990,,,,,4.3,4632
16118077,16118077,,25000000,Apr 01 1988,R,,Contemporary Fiction,61,6.8,11929
887000,887000,,1200000,Dec 31 1975,,,Fantasy,,4.9,359
1610194,1610194,,10400000,Feb 20 2004,PG,,Contemporary Fiction,44,6.2,817
32656328,33139618,,28000000,Jun 25 1982,R,,Science Fiction,92,8.3,185546
11806119,11806119,,1500000,Feb 26 1988,,,Contemporary Fiction,,6.2,19816
57229890,57229890,,27000000,Jun 20 1980,,,Contemporary Fiction,84,7.9,62941
13747234,13747234,,18000000,Jul 24 1981,,,Contemporary Fiction,89,7.1,10239
1023424,8589831,,5500000,Jul 01 2005,Not Rated,,Contemporary Fiction,,7.3,7295
2800000,4358000,,379000,Dec 31 1928,,,,38,6.7,2017
9172000,9172000,,2000000,Dec 31 1939,,,,,7.1,1115
3802260,6300000,,4500000,Oct 04 1996,R,,Contemporary Fiction,88,7.4,23564
527,527,,10000,Apr 01 1996,,,Contemporary Fiction,,6.3,369
,,,2000000,Apr 28 1971,PG-13,,,89,7.1,12415
37537675,37537675,,20000000,Jul 19 1991,,,Fantasy,58,5.8,20188
10000000,11000000,,110000,Feb 08 2015,,,,100,7.1,8901
3500000,5000000,,3716946,May 13 1970,,,Historical Fiction,92,7.3,3125
882290,882290,,7700000,Feb 23 1990,,,,,6.2,2523
0,0,,120000,Jun 30 2006,,,Factual,71,7.6,90
70052444,131052444,,42000000,Jul 01 1992,,,Contemporary Fiction,37,5.9,202
33300000,33300000,,3000000,Dec 18 1957,,,,95,8.4,58641
70001698,70001698,,14000000,Dec 20 1989,,,Dramatization,89,7.2,32108
2962051,2962051,,3000000,Aug 09 1996,R,,Dramatization,69,6.7,7935
45892212,45892212,,30000000,Sep 22 1989,,,Contemporary Fiction,57,4.1,137
407488,407488,,5000000,Feb 21 1996,R,,,79,7.2,21980
242623,242623,,3000000,Feb 12 1993,,,,,7.6,32827
71516617,175516617,,22000000,Jun 02 1995,PG-13,,Historical Fiction,90,7.2,21923
10426506,10426506,,25000,Aug 09 1995,R,,Contemporary Fiction,91,6.4,4365
82522790,215862692,,40000000,Nov 13 1992,R,,Fantasy,,6.4,136
70645997,148345997,,65000000,Feb 09 1996,R,108,Contemporary Fiction,55,5.8,33584
8921050,8921050,,15000000,Sep 30 1983,,,Science Fiction,64,6.3,4410
75545647,209000000,,72000000,May 24 1995,R,,Dramatization,77,8.4,240642
0,83833602,,42000000,Feb 01 2006,,,Contemporary Fiction,,4.4,1254
9929135,9929135,,15000000,Dec 18 1985,R,136,Fantasy,98,8,76635
119500000,119500000,,2600000,Jan 01 1974,,,,89,7.8,45771
609042,609042,,1300000,May 05 2000,PG,,,,6.3,343
3500000,3500000,,2361000,Dec 31 1943,,,,,6.2,487
39916091,39916091,,10000000,Feb 17 1989,,,Science Fiction,81,6.7,30341
50800000,50800000,,26000000,Jun 15 1977,,,,67,7.3,16882
73326666,73326666,,15000000,Mar 30 1988,,,Fantasy,,7.3,61197
162831698,266822354,,80000000,Jun 18 1992,PG-13,,Super Hero,78,6.9,78673
184031112,336529144,,100000000,Jun 16 1995,PG-13,,Super Hero,43,5.4,76218
0,0,,1377800,Aug 21 2001,,,,,,
251188924,411348924,,35000000,Jun 23 1989,PG-13,,Super Hero,71,7.6,111464
14231669,14231669,,7000000,Jul 31 1992,,,Fantasy,32,5.3,16056
1470856,243470856,,16000000,Jul 25 2008,Not Rated,109,Contemporary Fiction,,7,7129
9000000,9000000,,1000000,Jan 01 1970,,,,68,5.7,4626
15030,85343,,600000,Jul 02 1999,R,,,,6.4,399
19000000,19000000,,12000000,Dec 31 1977,,,,65,7,8741
174682,174682,,200000,May 10 2002,Not Rated,,Contemporary Fiction,,7,355
39846344,39846344,,6000000,Jul 25 1980,,,Contemporary Fiction,75,7.3,35436
79091969,182291969,,35000000,Nov 15 1991,R,,Contemporary Fiction,76,7.3,47196
122012656,207500000,,62000000,Aug 03 1994,PG-13,,Contemporary Fiction,78,6.8,29612
25878153,25878153,,1800000,Nov 16 1976,,,Contemporary Fiction,90,7.4,38767
22744718,41744718,,12000000,Apr 28 1967,,,Contemporary Fiction,30,8,172936
3479302,3479302,,4600000,Jul 16 2004,Not Rated,,Contemporary Fiction,,6,378
25928721,25928721,,48000000,Dec 14 1984,,,Historical Fiction,74,6.3,6940
0,0,,600000,Aug 23 2002,,,,60,7.1,153
166000000,337700000,,20000000,Nov 16 1977,,,Science Fiction,95,7.8,59049
60240295,102825796,,47000000,Jun 14 1996,PG-13,95,Contemporary Fiction,52,5.8,51109
49000,1549000,,1000000,Sep 16 2005,Not Rated,,Contemporary Fiction,,4.6,527
33244684,44196684,,9000000,Nov 09 1988,,,Fantasy,70,6.3,16165
26904572,34166572,,13000000,Nov 09 1990,,,Fantasy,38,5.1,8666
21226204,60209334,,55000000,Aug 02 1996,PG-13,106,Contemporary Fiction,13,5.2,15817
814666,814666,,950000,Sep 27 2002,PG,,Contemporary Fiction,,5.8,60
57159946,57159946,,5500000,Sep 25 1981,,,Dramatization,86,7.3,16138
19294144,19294144,,3250000,Nov 18 1983,PG,,Historical Fiction,88,8,51757
17570324,17570324,,3000000,Sep 20 1958,,,Contemporary Fiction,100,8,14540
4700000,4700000,,1250000,Aug 31 1984,,,Fantasy,,5,2806
0,0,,1200000,Oct 20 2036,,,Dramatization,,,
13024170,13024170,,14000000,May 13 1994,PG-13,,Historical Fiction,75,6.5,3137
1647780,1647780,,1300000,Oct 09 1998,R,,Contemporary Fiction,,8.1,26607
48000000,62000000,,36000000,Jun 12 1963,,,Dramatization,40,6.8,7870
84049211,255000000,,65000000,May 28 1993,,,Contemporary Fiction,82,6.2,34447
4134,4134,,500000,Oct 21 2005,PG,,Contemporary Fiction,,5.1,226
92115211,117615211,,45000000,Jul 20 1994,PG-13,,Contemporary Fiction,80,6.5,19299
32092,32092,,160000,Mar 01 2002,PG,,Contemporary Fiction,,3.4,1113
56598476,56598476,,13700000,Jul 01 1995,PG-13,,Contemporary Fiction,83,6.7,39055
93589701,93589701,,15000000,Dec 18 1985,,,Historical Fiction,88,7.7,26962
3073428,3073428,,27000,Oct 19 1994,R,,Contemporary Fiction,88,7.9,89991
5969553,17006158,,2900000,Nov 20 1998,R,,Contemporary Fiction,,8,17343
30000000,30000000,,15000000,Jun 12 1981,,108,Fantasy,65,5.9,45773
444354,444354,,2000000,May 15 1998,PG-13,,,,5.9,3171
35073978,35073978,,10000000,Oct 04 1985,,,Contemporary Fiction,71,4.5,49
52293000,52293000,,10000000,Oct 17 1986,,,Contemporary Fiction,91,6.9,25824
85000000,85000000,,2900000,Feb 15 1950,,,Fantasy,92,5.1,373
81022333,152022333,,50000000,Jun 09 1995,PG-13,,Contemporary Fiction,21,4.6,17954
38264085,38264085,,20000000,May 14 1982,,,Fantasy,76,6.8,38886
26400000,26400000,,18000000,Jun 29 1984,,,Fantasy,29,5.4,20368
6965361,6965361,,3250000,Aug 20 1982,,,Contemporary Fiction,,6.3,2945
1953732,1953732,,15000000,Jan 17 1986,,,Historical Fiction,13,4.9,2763
7033,7033,,200000,Jul 21 2006,Not Rated,,Factual,,,
925402,925402,,180000,Jan 22 1999,PG,,Contemporary Fiction,,8,6657
32653000,32653000,,3000000,Dec 31 1977,,,,81,7.3,4410
0,20000000,,12000000,Nov 17 2009,R,,,,7.6,1725
68856263,155056263,,14000000,Oct 01 1993,,,Contemporary Fiction,73,6.5,24533
9700000,9700000,,1700000,Dec 31 1971,,,,44,5.8,6188
94596,94596,,10000,Jul 06 2001,Not Rated,,,,7.4,2724
174803506,328000000,,5000000,Sep 26 1986,,,Contemporary Fiction,88,6.5,27277
673780,673780,,10000,Mar 09 2001,Not Rated,,Contemporary Fiction,,7.3,1851
713413,713413,,4500000,Mar 27 1998,R,,Historical Fiction,,7.8,5531
20036244,20036244,,8000000,Nov 10 1982,,,Fantasy,67,6.5,12530
14000000,14000000,,3500000,May 01 1987,,,Fantasy,26,5.4,5910
62546695,62546695,,4000000,Nov 25 1992,R,,Contemporary Fiction,100,7.3,21195
91387195,159387195,,55000000,May 12 1995,R,,Contemporary Fiction,86,7.2,33354
1000000,1000000,,14000000,Dec 31 1977,,,Historical Fiction,,5.8,173
0,0,,820000,Dec 31 2009,,,,,,
0,3000000,,500000,Jun 30 2006,,,Contemporary Fiction,,7.6,1209
10462500,10462500,,950000,Dec 31 1941,,,Historical Fiction,97,8.8,167939
42438300,110400000,,52000000,Nov 22 1995,R,,Historical Fiction,81,8.1,108634
100328194,282300000,,55000000,May 26 1995,PG,,Fantasy,41,5.7,26121
2000000,2000000,,20000000,Dec 31 1979,,,Contemporary Fiction,,3.5,2146
24911670,24911670,,18000000,Jun 24 1970,,,Historical Fiction,87,7.1,9671
20278055,20278055,,40000000,Feb 16 1996,R,111,Contemporary Fiction,55,6.1,9908
10017322,10017322,,92000000,Dec 22 1995,PG-13,,Historical Fiction,45,5.3,10346
244465,244465,,10000000,Aug 14 1998,,,Historical Fiction,,6.8,822
4000000,8000000,,134000,Nov 16 2042,,,Fantasy,91,5.9,6791
59003384,100833145,,46000000,Jul 12 1996,R,115,Historical Fiction,85,6.6,19682
5321508,5321508,,5000000,May 28 1969,PG-13,,Historical Fiction,,8.8,74184
4420000,4420000,,1600000,Apr 07 1974,,,Contemporary Fiction,98,8.1,33005
70071,71644,,7000,May 26 2006,Not Rated,,Contemporary Fiction,,6,487
32051917,32051917,,20000000,Oct 27 1995,R,,Contemporary Fiction,75,6.5,17182
4372561,4372561,,7000000,Sep 28 1990,,,Science Fiction,,5.3,3396
11487676,84970337,,12000000,Feb 10 1982,R,,Historical Fiction,,4.3,2184
25532388,25532388,,7000000,Aug 25 1995,R,,Contemporary Fiction,61,7,51515
127175374,246400000,,16000000,Dec 16 1994,PG-13,,Contemporary Fiction,,7.2,88093
43800000,116000000,,7200000,Dec 17 1971,,,,67,6.7,25354
9579068,9579068,,15000000,Apr 23 1993,,,Fantasy,,5.7,5488
423,423,,400000,Oct 13 2005,R,,,,6.3,2804
67163857,178200000,,115000000,Feb 07 1997,PG-13,108,Contemporary Fiction,28,5.6,23472
32908290,158908290,,80000000,Dec 06 1996,PG-13,115,Contemporary Fiction,22,5.4,20052
103738726,162738726,,47000000,Jun 15 1990,,,Super Hero,65,5.9,25364
84733,84733,,5000000,Feb 27 2004,R,,,,4.4,2486
5100000,55000000,,1500000,Apr 20 1979,,,,,7.4,73875
113502246,191502246,,30000000,Nov 22 1991,,,Fantasy,59,6.6,28907
58422650,149022650,,55000000,Jul 31 1992,,,Fantasy,53,6,27681
210904,210904,,1300000,Mar 15 1985,,,Science Fiction,,3.8,639
95860116,239500000,,16400000,Jun 02 1989,,,Contemporary Fiction,86,7.8,89662
3700000,3700000,,1200000,Mar 04 2003,,,,94,5.5,51517
45000000,45000000,,25000,Jun 30 1972,,,,,5.2,3075
20766000,20766000,,10000000,Oct 21 1983,,,Fantasy,,7.3,19485
117323878,239814025,,70000000,Jul 03 1990,,,Contemporary Fiction,,7,79636
100012499,364480746,,90000000,May 19 1995,R,,Contemporary Fiction,,7.4,87437
51364680,104364680,,57000000,May 31 1996,PG-13,108,Fantasy,50,6.2,26309
81350242,139109346,,28000000,Jul 15 1988,,,Contemporary Fiction,94,7.3,237
12592907,12592907,,5000000,Apr 02 1982,,,Historical Fiction,96,7.1,7803
129319,129319,,1600000,Sep 23 2005,Not Rated,,,,5,159
22032635,22032635,,25000000,Apr 07 1995,PG-13,,Contemporary Fiction,73,6.6,20386
21089146,21089146,,12000000,Jan 13 1995,R,,Fantasy,,6.4,6430
,,,17000000,Oct 21 1977,,,,,4.7,1655
39387284,83088295,,11000000,Dec 29 1995,R,,Dramatization,94,7.6,32159
184208842,424200000,,19000000,Nov 09 1990,,,Historical Fiction,76,8,71399
34700000,34700000,,14000000,Dec 21 1988,,,Historical Fiction,93,7.7,25761
6600000,6600000,,2686000,Dec 31 1962,,,,60,6.6,2907
349618,349618,,9000000,Oct 25 1991,,,,,5.9,2059
29090445,29090445,,16000000,Aug 09 1991,,,Contemporary Fiction,8,4.7,10426
34167219,34167219,,40000000,Mar 01 1991,,,Dramatization,57,7,29750
5804262,34004262,,3500000,Jul 03 1985,,,,78,4.5,8395
82670733,157670733,,60000000,Jun 27 1990,,,Contemporary Fiction,40,5.4,25395
39659,84788,,1100000,May 14 2003,Not Rated,,,,7,1013
14000,14000,,170000,Jun 01 1979,,,Factual,,5.8,134
,,,300000,Apr 01 1975,R,,Science Fiction,84,6.1,10015
0,0,,7200000,Dec 31 1969,,,,,,
16556,16556,,2650000,Jan 16 1998,Not Rated,,,,7.6,1844
50000000,50000000,,15000000,Dec 31 1978,,,,,8.2,88095
6000000,6000000,,18000000,Jun 26 1981,,,Fantasy,82,6.8,4945
106593296,106593296,,7500000,Dec 13 1989,,,Historical Fiction,78,7.5,22566
31899000,31899000,,6500000,Jan 01 1980,,,,84,7.1,9556
26004026,26004026,,6000000,Jun 30 1989,,,Contemporary Fiction,98,7.9,26877
27447471,27447471,,45000000,Dec 14 1984,,,Science Fiction,62,6.5,38489
7714996,17252287,,6000000,Feb 15 2008,Not Rated,,Factual,,,
58936,58936,,1200000,Mar 21 2003,R,,,,5.8,75
542909,542909,,1000000,Jun 20 1997,R,,Contemporary Fiction,58,6.6,1188
111721000,111721000,,11000000,Dec 22 1965,PG-13,,Historical Fiction,84,8,27671
2400000,29400000,,375000,Apr 15 1983,NC-17,,,,7.6,45030
5923044,5923044,,3500000,Mar 13 1987,,,Fantasy,,7.9,44214
11502976,21502976,,11000000,Feb 19 1993,R,,Fantasy,,7.6,55671
673,673,,1800000,Dec 31 1992,,,,50,5.6,829
53976987,53976987,,20000000,Dec 07 1990,,,Fantasy,91,8,102485
5828466,5828466,,18000000,Sep 30 1994,R,,Dramatization,91,8.1,74171
15000000,15000000,,5000000,Dec 31 1953,,,,,6.2,1097
9725847,34600000,,20000000,Dec 06 1996,R,,Contemporary Fiction,80,6.8,16481
26010864,26010864,,5000000,Oct 03 1980,,,,91,8.4,58194
22231658,37831658,,5900000,Aug 02 1996,PG,111,Historical Fiction,,6.8,13798
290271960,534171960,10027926,23000000,May 21 1980,PG,,Science Fiction,,,
25244700,25244700,,6000000,Jul 10 1981,,,Science Fiction,82,7.1,34497
25426861,25426861,,50000000,Aug 09 1996,R,101,Science Fiction,56,5.3,23262
12300000,12300000,,2500000,Dec 31 1970,,,Science Fiction,78,6.1,7686
101295562,234400000,,100000000,Jun 21 1996,R,115,Contemporary Fiction,34,5.9,37287
7000000,7000000,,100000,Dec 31 1976,,,,90,7.4,26595
18016290,18016290,,2000000,Aug 11 1972,,,,,,
435110554,792910554,,10500000,Jun 11 1982,PG,,Science Fiction,,7.9,105028
1152117,1152117,,13000000,May 14 1993,,,,,4.7,537
25011000,25011000,,14000000,Jun 17 1977,,,,,3.5,7849
5046118,5046118,,1500000,Sep 23 1994,R,,Contemporary Fiction,96,7.1,8402
7100000,7100000,,5000000,Dec 22 1978,,,,64,6,5917
11000000,11000000,,5000000,Dec 31 1956,,,,,6.6,1655
156645693,320100000,,14000000,Sep 18 1987,,,Contemporary Fiction,81,6.8,22328
13200000,13200000,,3000000,Apr 09 1976,,,,95,6.8,7290
31425,31425,,400000,Dec 10 2004,R,,,,5.4,146
0,0,,1500000,Mar 17 2006,,,Science Fiction,,6.7,535
41158757,41158757,,2200000,Oct 09 1971,,,,98,7.9,33674
25728961,25728961,,20000000,Jan 19 1996,R,107,Fantasy,63,7.1,80234
39754601,59754601,,550000,May 09 1980,,,,60,5.6,26798
36690067,36690067,,2250000,Aug 13 1982,,,Contemporary Fiction,14,5.5,13395
32980880,32980880,,2600000,Apr 13 1984,,,Fantasy,,,
21930418,21930418,,2200000,Mar 22 1985,,,Contemporary Fiction,,,
19472057,19472057,,3000000,Aug 01 1986,,,Fantasy,,,
19170001,19170001,,2800000,May 13 1988,,,Fantasy,,4.6,8916
14343976,14343976,,5000000,Jul 28 1989,,,Fantasy,,3.9,10113
15935068,15935068,,3000000,Aug 13 1993,,,Fantasy,,4.1,8733
4300000,4300000,,600000,May 10 1967,,,Historical Fiction,,8.2,44204
3500000,3500000,,200000,Jan 18 1967,,,Historical Fiction,,8,39929
4750000,4750000,,19000000,Jan 01 1964,,,,100,6.6,3184
21722776,21722776,,1250000,Apr 30 1981,,,,33,5.5,13395
2104439,2104439,,13000000,Apr 05 1996,R,,Contemporary Fiction,7,5.7,989
11497497,11497497,,50000000,Nov 03 1995,R,,Contemporary Fiction,13,6.6,194
141340178,236500000,,33000000,Dec 11 1992,,,Contemporary Fiction,83,7.6,63541
183875760,368900000,,44000000,Aug 06 1993,PG-13,,Contemporary Fiction,94,7.8,96914
30500000,30500000,,1650000,Aug 05 1953,,,,86,7.9,15115
87264,87264,,300000,Jul 15 2005,PG-13,90,,,,
302204,302204,,4000000,May 01 1998,PG,,,,6.4,4849
20388920,20388920,,11000000,Apr 13 1978,,,Dramatization,,6.2,2737
90463574,201463574,,7000000,Apr 15 1983,,,Contemporary Fiction,29,5.6,12485
17192205,19892205,,30000000,Jul 19 1996,R,98,Contemporary Fiction,14,4.9,4215
27107960,27107960,,35000000,Dec 05 1980,,,Science Fiction,81,6.2,14894
130531208,358500000,,45000000,May 27 1994,PG,,Historical Fiction,20,4.6,26521
14471440,14471440,,35000000,Jan 18 1991,,,Historical Fiction,,5.3,2592
61308153,61308153,,26000000,Aug 10 1990,R,,Science Fiction,52,6.4,23295
181798,181798,,6000000,Oct 10 2003,R,,,64,,
77070,77070,,30000,Apr 29 2005,Not Rated,,,,6.1,1138
1212799,1412799,,12500000,Nov 01 1996,R,,Historical Fiction,83,6.4,4084
83320000,83320000,,2280000,Nov 13 2040,,,Multiple Creative Types,98,7.8,29914
60507228,60507228,,80000000,Jan 01 2000,G,75,Kids Fiction,,,
21378361,21378361,,1000000,Feb 01 1980,,,,69,3.3,15760
329694499,679400525,,55000000,Jul 06 1994,PG-13,,Historical Fiction,70,8.6,300455
6730578,46730578,,12000000,Sep 03 1993,,,Science Fiction,36,5.5,7026
80500000,80500000,,9000000,Jan 01 1971,,,Historical Fiction,88,7.7,14260
15000000,15000000,,4000000,Dec 17 1974,,,Contemporary Fiction,67,7.2,3875
47212904,125212904,,14000000,Oct 22 1982,R,,Contemporary Fiction,,7.4,56369
27467564,27936778,,3500000,Apr 26 1995,R,,Contemporary Fiction,77,7,21623
0,91062,,2000000,Dec 10 2004,R,,Contemporary Fiction,83,6.3,1723
45785720,45785720,,21000000,Jun 18 1982,,,Science Fiction,42,5.6,9348
24567751,51204567,,7000000,Mar 08 1996,R,87,Contemporary Fiction,94,8.3,165159
37361412,127361412,,75000000,Jul 07 1995,PG-13,,Historical Fiction,45,5.6,20928
24800000,78900000,,2000000,Apr 08 1964,,,,,7.5,32541
158340892,270340892,,42000000,Jun 30 1993,R,,Contemporary Fiction,76,5.5,957
12600000,12600000,,3500000,Jun 21 1972,,,,87,7.5,13093
80000000,80000000,,8200000,Feb 17 1984,,,Contemporary Fiction,56,6,15626
27092880,27092880,,4500000,Aug 13 1982,,,Contemporary Fiction,80,7.2,31362
10514,10514,,300000,May 06 2005,R,,,,6.6,499
105489203,181489203,,30000000,Sep 20 1996,PG,90,Contemporary Fiction,41,5.6,14682
14853474,14853474,,7000000,Mar 22 1996,R,,Contemporary Fiction,86,6.7,8474
54800000,195300000,,28000000,Jun 26 1981,,,Contemporary Fiction,71,6.8,23527
623791,1179462,,1000000,Sep 08 2000,Not Rated,,Contemporary Fiction,,6.5,749
1336,1336,,12000,Apr 28 2006,Not Rated,,Contemporary Fiction,,,
38564422,38564422,,55000000,Oct 11 1996,R,109,Dramatization,51,6.6,19735
5732587,5732587,,3000000,Aug 28 1981,,,,86,7.7,14139
