Effect Amount of damage,Flight Date,Phase of flight,Wildlife Size,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots
None,1990.8.9,Climb,Medium,Day,0,0,0,165
None,1990.8.9,Approach,Small,Day,0,0,0,132
None,1990.8.9,Landing Roll,Small,Day,0,0,0,100
Minor,1990.8.10,Approach,Medium,Night,0,0,0,180
None,1990.8.12,Climb,Medium,Day,0,0,0,200
None,1990.8.12,Approach,Medium,Night,0,0,0,
None,1990.8.13,Take-off run,Medium,Night,0,0,0,
None,1990.8.13,Climb,Small,Day,0,0,0,150
Minor,1990.8.15,Approach,Medium,Day,0,0,0,210
None,1990.8.15,Approach,Small,Day,0,0,0,160
None,1990.8.16,Approach,Small,Day,0,0,0,130
None,1990.8.16,Take-off run,Small,Day,0,0,0,160
None,1990.8.17,Approach,Medium,Day,0,0,0,145
None,1990.8.17,Approach,Small,Night,0,0,0,170
Substantial,1990.8.18,Approach,Medium,Day,0,0,0,210
None,1990.8.18,Landing Roll,Medium,Day,0,0,0,123
None,1990.8.19,Climb,Medium,Day,0,0,0,250
None,1990.8.19,Approach,Small,Day,0,0,0,135
None,1990.8.20,Approach,Small,Night,0,0,0,150
None,1990.8.20,Descent,Small,Night,0,0,0,250
None,1990.8.21,Climb,Medium,Day,0,0,0,145
Substantial,1990.8.21,Take-off run,Small,Day,0,0,0,
None,1990.8.22,Approach,Small,Night,0,0,0,130
None,1990.8.23,Approach,Medium,Night,0,0,0,150
Medium,1990.8.23,Take-off run,Small,Day,0,0,0,95
None,1990.8.24,Approach,Medium,Night,0,0,0,
Minor,1990.8.24,Climb,Small,Day,0,0,0,150
None,1990.8.24,Approach,Small,Day,0,0,0,135
None,1990.8.24,Approach,Small,Day,0,0,0,145
None,1990.8.25,Approach,Medium,Day,0,0,0,125
None,1990.8.25,Approach,Small,Day,0,0,0,135
None,1990.8.25,Approach,Small,Night,0,0,0,103
None,1990.8.27,Climb,Medium,Day,0,0,0,160
None,1990.8.27,Take-off run,Medium,Day,0,0,0,40
None,1990.8.27,Climb,Medium,Night,0,0,0,
None,1990.8.28,Descent,Large,Night,0,0,0,250
None,1990.8.28,Climb,Medium,Night,0,0,0,250
None,1990.8.28,Climb,Small,Day,0,0,0,145
None,1990.8.28,Climb,Small,Day,0,0,0,250
None,1990.8.29,Approach,Small,Day,0,0,0,130
None,1990.8.29,Climb,Small,Day,0,0,0,180
None,1990.8.29,Approach,Small,Night,0,0,0,140
None,1990.8.30,Approach,Medium,Day,0,0,0,140
None,1990.8.30,Approach,Small,Day,0,0,0,210
None,1990.8.30,Climb,Small,Day,0,0,0,195
None,1990.8.31,Descent,Medium,Day,0,0,0,250
None,1990.8.31,Approach,Medium,Dusk,0,0,0,
None,1990.8.31,Approach,Medium,Night,0,0,0,170
None,1990.8.31,Approach,Medium,Night,0,0,0,150
None,1990.8.31,Approach,Small,Day,0,0,0,210
None,1990.9.1,Approach,Medium,Day,0,0,0,140
Substantial,1990.9.1,Take-off run,Medium,Dusk,0,0,0,130
None,1990.9.1,Take-off run,Small,Day,0,0,0,150
None,1990.9.3,Approach,Medium,Night,0,0,0,250
None,1990.9.4,Climb,Small,Day,0,0,0,150
None,1990.9.5,Approach,Small,Day,0,0,0,180
None,1990.9.5,Take-off run,Small,Day,0,0,0,
None,1990.9.5,Approach,Small,Dusk,0,0,0,135
None,1990.9.6,Climb,Small,Day,0,0,0,240
None,1990.9.6,Climb,Small,Day,0,0,0,135
None,1990.9.6,Climb,Small,Day,0,0,0,250
None,1990.9.6,Approach,Small,Dusk,0,0,0,140
None,1990.9.7,Approach,Medium,Night,0,0,0,140
None,1990.9.7,Approach,Medium,Night,0,0,0,140
None,1990.9.7,Landing Roll,Small,Day,0,0,0,100
None,1990.9.7,Take-off run,Small,Day,0,0,0,120
None,1990.9.9,Approach,Small,Dusk,0,0,0,140
None,1990.9.10,Approach,Medium,Day,0,0,0,
None,1990.9.10,Approach,Medium,Day,0,0,0,150
None,1990.9.10,Approach,Medium,Night,0,0,0,125
None,1990.9.10,Approach,Small,Day,0,0,0,155
None,1990.9.10,Approach,Small,Day,0,0,0,115
None,1990.9.10,Landing Roll,Small,Day,0,0,0,
None,1990.9.10,Take-off run,Small,Day,0,0,0,100
None,1990.9.10,Approach,Small,Night,0,0,0,160
None,1990.9.10,Approach,Small,Night,0,0,0,160
None,1990.9.11,Approach,Medium,Night,0,0,0,160
None,1990.9.12,Approach,Small,Dawn,0,0,0,125
None,1990.9.12,Approach,Small,Day,0,0,0,150
None,1990.9.12,Approach,Small,Night,0,0,0,135
None,1990.9.13,Climb,Medium,Night,0,0,0,230
None,1990.9.13,Take-off run,Small,Day,0,0,0,
None,1990.9.14,Approach,Small,Day,0,0,0,130
None,1990.9.14,Approach,Small,Day,0,0,0,140
None,1990.9.14,Climb,Small,Day,0,0,0,130
None,1990.9.15,Approach,Small,Day,0,0,0,150
None,1990.9.15,Climb,Small,Day,0,0,0,160
Minor,1990.9.16,Climb,Medium,Day,0,0,0,320
None,1990.9.16,Approach,Small,Day,0,0,0,140
None,1990.9.17,Climb,Medium,Day,0,0,0,210
None,1990.9.17,Approach,Medium,Night,0,0,0,
None,1990.9.17,Approach,Medium,Night,0,0,0,230
None,1990.9.17,Climb,Small,Day,0,0,0,125
None,1990.9.18,Landing Roll,Medium,Night,0,5218,5218,0
None,1990.9.18,Approach,Small,Day,0,0,0,123
None,1990.9.18,Approach,Small,Day,0,0,0,170
None,1990.9.18,Approach,Small,Night,0,0,0,250
None,1990.9.20,Take-off run,Medium,Day,0,0,0,110
None,1990.9.20,Landing Roll,Small,Day,0,0,0,90
Medium,1990.9.21,Approach,Medium,Dusk,0,0,0,
None,1990.9.21,Climb,Small,Day,0,0,0,110
None,1990.9.21,Take-off run,Small,Day,0,0,0,100
None,1990.9.21,Taxi,Small,Day,0,0,0,10
None,1990.9.22,Approach,Medium,Night,0,0,0,160
None,1990.9.22,Climb,Medium,Night,0,0,0,150
None,1990.9.22,Take-off run,Small,Day,0,0,0,125
None,1990.9.22,Take-off run,Small,Day,0,0,0,
None,1990.9.22,Approach,Small,Night,0,0,0,135
Substantial,1990.9.23,Descent,Medium,Day,0,0,0,60
None,1990.9.23,Approach,Small,Night,0,0,0,180
None,1990.9.24,Approach,Medium,Dusk,0,0,0,140
None,1990.9.24,Landing Roll,Small,Day,0,0,0,
None,1990.9.25,Approach,Medium,Night,0,0,0,127
None,1990.9.25,Approach,Small,Day,0,0,0,115
None,1990.9.25,Approach,Small,Day,0,0,0,140
None,1990.9.25,Approach,Small,Dusk,0,0,0,125
C,1990.9.26,Climb,Medium,Day,0,23656,23656,150
None,1990.9.26,Approach,Small,Day,0,0,0,130
None,1990.9.26,Climb,Small,Day,0,0,0,250
None,1990.9.27,Approach,Medium,Day,0,0,0,150
None,1990.9.27,Climb,Medium,Night,0,0,0,250
None,1990.9.27,Descent,Medium,Night,0,0,0,250
None,1990.9.27,Approach,Small,Day,0,0,0,150
None,1990.9.27,Approach,Small,Day,0,0,0,141
None,1990.9.28,Approach,Medium,Night,0,0,0,140
None,1990.9.28,Approach,Small,Night,0,0,0,180
None,1990.9.30,Approach,Large,Day,0,0,0,180
Minor,1990.9.30,Approach,Large,Dusk,0,0,0,140
None,1990.9.30,Approach,Medium,Night,0,0,0,140
None,1990.9.30,Descent,Medium,Night,0,0,0,250
None,1990.9.30,Take-off run,Small,Day,0,0,0,100
None,1990.10.1,Approach,Medium,Day,0,0,0,200
None,1990.10.1,Approach,Small,Day,0,0,0,140
None,1990.10.2,Approach,Small,Night,0,0,0,140
None,1990.10.4,Approach,Small,Day,0,0,0,140
None,1990.10.5,Approach,Medium,Night,0,0,0,160
None,1990.10.6,Approach,Small,Night,0,0,0,140
None,1990.10.7,Approach,Small,Day,0,0,0,160
None,1990.10.9,Approach,Medium,Night,0,0,0,200
None,1990.10.10,Take-off run,Medium,Day,0,0,0,130
None,1990.10.10,Approach,Medium,Night,0,0,0,190
None,1990.10.10,Approach,Medium,Night,0,0,0,180
None,1990.10.10,Landing Roll,Small,Day,0,0,0,130
None,1990.10.10,Landing Roll,Small,Day,0,0,0,
Minor,1990.10.11,Descent,Large,Night,0,0,0,250
None,1990.10.11,Take-off run,Medium,Day,0,0,0,200
Substantial,1990.10.12,Take-off run,Medium,Day,0,0,0,110
None,1990.10.12,Climb,Small,Day,0,0,0,200
None,1990.10.12,Approach,Small,Night,0,0,0,170
None,1990.10.12,Approach,Small,Night,0,0,0,150
None,1990.10.12,Take-off run,Small,Night,0,0,0,120
None,1990.10.13,Landing Roll,Medium,Day,0,0,0,100
None,1990.10.13,Climb,Medium,Night,0,0,0,210
None,1990.10.14,Approach,Medium,Day,0,0,0,
None,1990.10.15,Approach,Medium,Day,0,0,0,190
None,1990.10.15,Take-off run,Medium,Day,0,0,0,120
None,1990.10.15,Descent,Medium,Night,0,0,0,230
None,1990.10.15,Landing Roll,Medium,Night,0,0,0,0
None,1990.10.15,Landing Roll,Medium,Night,0,0,0,0
None,1990.10.17,Approach,Small,Night,0,0,0,140
None,1990.10.18,Climb,Large,Night,0,0,0,
None,1990.10.18,Approach,Medium,Day,0,0,0,180
None,1990.10.18,Approach,Medium,Night,0,0,0,170
None,1990.10.18,Approach,Small,Night,0,0,0,210
None,1990.10.19,Climb,Medium,Night,0,0,0,146
None,1990.10.19,Climb,Small,Night,0,0,0,200
None,1990.10.20,Approach,Medium,Night,0,0,0,125
None,1990.10.21,Approach,Medium,Night,0,0,0,160
None,1990.10.21,Climb,Small,Night,0,0,0,150
None,1990.10.22,Climb,Large,Night,0,0,0,
None,1990.10.22,Approach,Medium,Dawn,0,0,0,140
None,1990.10.22,Approach,Medium,Day,0,0,0,133
None,1990.10.22,Approach,Medium,Night,0,0,0,210
None,1990.10.22,Approach,Medium,Night,0,0,0,160
None,1990.10.22,Approach,Small,Night,0,0,0,130
None,1990.10.22,Approach,Small,Night,0,0,0,180
None,1990.10.23,Descent,Large,Night,0,0,0,250
None,1990.10.23,Approach,Medium,Night,0,0,0,145
Minor,1990.10.23,Approach,Small,Day,0,0,0,140
None,1990.10.24,Approach,Large,Night,0,0,0,160
None,1990.10.24,Landing Roll,Medium,Day,0,0,0,0
Medium,1990.10.24,Approach,Medium,Night,0,0,0,
None,1990.10.24,Approach,Medium,Night,0,0,0,
None,1990.10.24,Approach,Medium,Night,0,0,0,
None,1990.10.24,Approach,Medium,Night,0,0,0,
None,1990.10.24,Approach,Medium,Night,0,0,0,
None,1990.10.24,Approach,Medium,Night,0,0,0,127
None,1990.10.24,Approach,Medium,Night,0,0,0,220
None,1990.10.24,Climb,Medium,Night,0,0,0,
None,1990.10.24,Take-off run,Medium,Night,0,0,0,
None,1990.10.24,Approach,Small,Night,0,0,0,180
None,1990.10.24,Approach,Small,Night,0,0,0,160
None,1990.10.24,Approach,Small,Night,0,0,0,140
Minor,1990.10.25,Approach,Large,Day,0,0,0,120
None,1990.10.25,Approach,Large,Day,0,0,0,120
None,1990.10.25,Approach,Medium,Day,0,0,0,30
None,1990.10.25,Approach,Medium,Night,0,0,0,150
None,1990.10.25,Climb,Medium,Night,0,0,0,250
None,1990.10.25,Descent,Medium,Night,0,0,0,185
None,1990.10.25,Approach,Small,Day,0,0,0,
None,1990.10.26,Approach,Medium,Night,0,0,0,125
None,1990.10.26,Approach,Medium,Night,0,0,0,140
None,1990.10.27,Approach,Medium,Day,0,0,0,0
None,1990.10.27,Descent,Medium,Night,0,0,0,230
Medium,1990.10.28,Approach,Medium,Night,0,0,0,245
Substantial,1990.10.29,Descent,Medium,Night,0,136109,136109,
Medium,1990.10.30,Approach,Small,Day,0,0,0,
None,1990.10.31,Approach,Medium,Day,0,0,0,
None,1990.10.31,Approach,Medium,Dusk,0,0,0,150
None,1990.10.31,Approach,Medium,Night,0,0,0,150
None,1990.11.1,Approach,Small,Night,0,0,0,150
Minor,1990.11.2,Approach,Large,Dusk,17394,1739,19133,175
None,1990.11.2,Climb,Small,Dawn,0,0,0,150
None,1990.11.2,Take-off run,Small,Day,0,0,0,145
None,1990.11.3,Climb,Small,Day,0,0,0,
None,1990.11.4,Approach,Medium,Night,0,0,0,210
None,1990.11.4,Climb,Small,Day,0,0,0,125
None,1990.11.4,Landing Roll,Small,Day,0,0,0,
None,1990.11.5,Climb,Small,Day,0,0,0,
None,1990.11.5,Approach,Small,Night,0,0,0,230
Substantial,1990.11.6,Take-off run,Medium,Day,0,0,0,
None,1990.11.6,Approach,Medium,Night,0,0,0,160
None,1990.11.6,Approach,Medium,Night,0,0,0,210
None,1990.11.6,Climb,Medium,Night,0,0,0,200
None,1990.11.7,Approach,Large,Night,0,0,0,210
None,1990.11.7,Approach,Medium,Day,0,783,783,160
None,1990.11.7,Take-off run,Medium,Day,0,0,0,
Substantial,1990.11.8,Take-off run,Medium,Day,0,0,0,
Minor,1990.11.8,Approach,Medium,Night,0,780010,780010,
None,1990.11.8,Climb,Medium,Night,0,0,0,230
None,1990.11.8,Approach,Small,Night,0,0,0,210
None,1990.11.9,Approach,Medium,Day,0,0,0,140
None,1990.11.9,Approach,Medium,Night,0,0,0,145
None,1990.11.9,Approach,Medium,Night,0,0,0,152
None,1990.11.9,Approach,Small,Night,0,0,0,140
None,1990.11.10,Climb,Small,Day,0,0,0,150
None,1990.11.10,Take-off run,Small,Dusk,0,0,0,103
None,1990.11.11,Take-off run,Small,Day,0,0,0,120
None,1990.11.11,Approach,Small,Dusk,0,0,0,
Medium,1990.11.12,Approach,Large,Night,0,0,0,190
None,1990.11.12,Approach,Large,Night,0,0,0,180
None,1990.11.12,Approach,Small,Day,0,0,0,120
None,1990.11.13,Climb,Small,Day,0,0,0,140
None,1990.11.14,Landing Roll,Small,Day,0,0,0,130
None,1990.11.16,Landing Roll,Medium,Day,0,0,0,100
None,1990.11.16,Climb,Medium,Night,0,0,0,240
None,1990.11.17,Approach,Small,Night,0,0,0,160
Substantial,1990.11.18,Landing Roll,Medium,Day,0,0,0,140
None,1990.11.19,Approach,Medium,Day,0,16916,16916,260
Minor,1990.11.19,Take-off run,Medium,Night,0,0,0,
None,1990.11.21,Approach,Small,Day,0,0,0,135
None,1990.11.24,Approach,Small,Day,0,0,0,130
None,1990.11.26,Climb,Small,Day,0,0,0,180
None,1990.11.26,Take-off run,Small,Day,0,0,0,125
None,1990.11.27,Take-off run,Medium,Day,0,0,0,
Minor,1990.11.27,Approach,Medium,Night,0,0,0,120
None,1990.11.27,Take-off run,Small,Day,0,0,0,135
Minor,1990.11.28,Climb,Medium,Night,0,0,0,250
C,1990.11.30,Climb,Small,Day,0,67435,67435,175
None,1990.12.3,Approach,Large,Night,0,0,0,140
None,1990.12.3,Take-off run,Medium,Day,0,0,0,130
None,1990.12.3,Approach,Medium,Night,0,0,0,145
None,1990.12.3,Approach,Small,Day,0,0,0,128
Minor,1990.12.4,Climb,Small,Dawn,0,0,0,180
None,1990.12.4,Approach,Small,Day,0,0,0,120
None,1990.12.5,Approach,Small,Day,0,0,0,
None,1990.12.8,Approach,Small,Day,0,0,0,140
None,1990.12.9,Approach,Small,Day,0,0,0,130
None,1990.12.11,Landing Roll,Medium,Day,0,0,0,
None,1990.12.11,Landing Roll,Medium,Night,0,0,0,
None,1990.12.13,Approach,Small,Day,0,0,0,125
None,1990.12.17,Approach,Medium,Night,0,0,0,140
None,1990.12.17,Approach,Small,Night,0,0,0,140
Medium,1990.12.20,Climb,Medium,Dusk,0,0,0,140
None,1990.12.20,Approach,Medium,Dusk,0,0,0,110
None,1990.12.20,Take-off run,Small,Day,0,0,0,
Medium,1990.12.21,Approach,Medium,Night,0,0,0,250
None,1990.12.22,Landing Roll,Small,Day,0,0,0,80
Substantial,1990.12.23,Climb,Medium,Dawn,0,0,0,
None,1990.12.24,Approach,Small,Night,0,0,0,230
Substantial,1991.1.1,Take-off run,Medium,Day,0,0,0,
Minor,1991.1.2,Approach,Medium,Night,0,0,0,140
None,1991.1.4,Approach,Medium,Night,0,0,0,180
None,1991.1.5,Approach,Small,Night,0,0,0,150
Minor,1991.1.6,Approach,Large,Night,0,0,0,130
None,1991.1.6,Approach,Medium,Dusk,0,0,0,130
None,1991.1.7,Landing Roll,Large,Day,0,0,0,120
None,1991.1.9,Approach,Large,Day,0,0,0,100
None,1991.1.14,Take-off run,Small,Day,0,0,0,120
None,1991.1.16,Take-off run,Medium,Night,0,0,0,140
Substantial,1991.1.19,Take-off run,Medium,Day,0,0,0,110
None,1991.1.21,Climb,Medium,Night,0,0,0,150
None,1991.1.22,Take-off run,Medium,Day,0,359,359,155
None,1991.1.23,Approach,Small,Day,0,0,0,135
None,1991.1.23,Approach,Small,Day,0,0,0,140
None,1991.1.24,Approach,Small,Day,0,0,0,110
None,1991.1.25,Approach,Small,Night,0,0,0,
None,1991.1.31,Approach,Medium,Night,0,0,0,210
Minor,1991.1.31,Landing Roll,Small,Day,0,0,0,85
None,1991.2.5,Approach,Medium,Night,0,0,0,135
None,1991.2.5,Approach,Small,Dusk,0,0,0,120
None,1991.2.7,Climb,Medium,Day,0,0,0,150
None,1991.2.11,Approach,Small,Day,0,0,0,145
None,1991.2.19,Take-off run,Medium,Day,0,0,0,145
None,1991.2.22,Climb,Small,Day,0,0,0,170
None,1991.2.22,Approach,Small,Night,0,0,0,130
